HOLDDATE,LGCYINVESTORID,Delta
2017-09-30,2002142,6.355398723058608e-06
2017-12-31,2002142,4.464581967145977e-06
2018-03-31,2002142,5.703067582365912e-06
2018-06-30,2002142,5.0679392760725475e-06
2018-09-30,2002142,3.085420248607735e-05
2018-12-31,2002142,4.035395192855079e-05
2019-03-31,2002142,3.027197080227278e-06
2019-06-30,2002142,5.572487343424759e-06
2019-09-30,2002142,4.116389391569996e-06
2019-12-31,2002142,4.019235625376737e-06
2020-03-31,2002142,8.260897736306584e-06
2020-06-30,2002142,6.702960480120375e-06
2010-06-30,2002158,1.695307994326072e-05
2010-09-30,2002158,6.242304040956486e-07
2010-12-31,2002158,1.9070199466830707e-06
2011-03-31,2002158,4.749716693425363e-06
2011-06-30,2002158,3.1267356387889616e-06
2011-09-30,2002158,6.972060207875376e-07
2011-12-31,2002158,4.539752773299121e-06
2012-03-31,2002158,6.423566759484405e-06
2012-06-30,2002158,1.2319677981904088e-05
2012-09-30,2002158,1.2762333345957087e-05
2012-12-31,2002158,1.2217407626211504e-06
2013-03-31,2002158,1.5849659359446347e-06
2013-06-30,2002158,1.4000225456206222e-06
2013-09-30,2002158,3.442405187400298e-06
2013-12-31,2002158,1.373580989065285e-06
2014-03-31,2002158,3.8978268034039705e-07
2014-06-30,2002158,1.657314830075304e-06
2014-09-30,2002158,1.884202983069796e-07
2014-12-31,2002158,1.1677445752812813e-06
2015-03-31,2002158,5.488611118933086e-07
2015-06-30,2002158,5.988279003829655e-07
2015-09-30,2002158,1.021457364554794e-06
2015-12-31,2002158,3.1322960852654793e-07
2016-03-31,2002158,2.833653139232099e-07
2016-06-30,2002158,2.4582086262974265e-07
2016-09-30,2002158,2.8718948710837714e-07
2016-12-31,2002158,2.370950231749017e-07
2017-03-31,2002158,6.530388493009357e-07
2017-06-30,2002158,2.976840997287858e-06
2017-09-30,2002158,1.0352113818261193e-07
2017-12-31,2002158,3.390061508546608e-07
2018-03-31,2002158,1.5922194113521014e-06
2018-06-30,2002158,1.0936741540419614e-06
2018-09-30,2002158,1.1585027475120409e-06
2018-12-31,2002158,9.129477182709784e-07
2019-03-31,2002158,3.8466213146139405e-07
2019-06-30,2002158,1.6727166802087614e-07
2019-09-30,2002158,9.92339533184838e-07
2019-12-31,2002158,1.0692479739410124e-06
2020-03-31,2002158,2.490972742186043e-06
2020-06-30,2002158,1.2057683025733945e-06
2010-06-30,2002179,1.4943132206120516e-05
2010-09-30,2002179,2.1949145091388697e-06
2010-12-31,2002179,4.3120709209222894e-06
2011-03-31,2002179,4.273679147498042e-06
2011-06-30,2002179,3.907604374871967e-06
2011-09-30,2002179,4.3697724881845424e-06
2011-12-31,2002179,2.096340870004374e-06
2012-03-31,2002179,1.5438362473368392e-06
2012-06-30,2002179,2.9787411802804533e-06
2012-09-30,2002179,2.3501706595694432e-06
2012-12-31,2002179,1.7296914672356274e-06
2013-03-31,2002179,3.6193306445952325e-06
2013-06-30,2002179,2.963921172349389e-06
2013-09-30,2002179,2.727642486439427e-06
2013-12-31,2002179,2.457352824460505e-05
2014-03-31,2002179,2.813398061361803e-05
2014-06-30,2002179,2.3664356332631336e-06
2014-09-30,2002179,1.8189393830032192e-06
2014-12-31,2002179,5.3017644830200855e-06
2015-03-31,2002179,5.983945365027045e-06
2015-06-30,2002179,3.616903885128277e-06
2015-09-30,2002179,4.362371229359169e-06
2015-12-31,2002179,5.474727838192865e-06
2016-03-31,2002179,1.034163890677384e-05
2016-06-30,2002179,1.0224502891074021e-05
2016-09-30,2002179,8.561042072094277e-06
2016-12-31,2002179,8.80021796222782e-06
2017-03-31,2002179,4.932156866066968e-06
2017-06-30,2002179,7.819823947197162e-06
2017-09-30,2002179,3.926652273545664e-06
2017-12-31,2002179,5.520151833844146e-06
2018-03-31,2002179,4.123822565823007e-06
2018-06-30,2002179,3.95894696742029e-06
2018-09-30,2002179,4.222990572411219e-06
2018-12-31,2002179,5.836526756652888e-06
2019-03-31,2002179,4.190126391999781e-06
2019-06-30,2002179,5.294264623023849e-06
2019-09-30,2002179,2.7825618980224797e-06
2019-12-31,2002179,4.393188044029873e-06
2020-03-31,2002179,1.1527221277192512e-05
2020-06-30,2002179,4.37562349094916e-06
2010-06-30,2002180,6.119159071424902e-05
2010-09-30,2002180,1.1634914780480231e-05
2010-12-31,2002180,8.745106790268402e-06
2011-03-31,2002180,1.0370455449030883e-05
2011-06-30,2002180,3.4279980038374747e-06
2011-09-30,2002180,7.876263281848995e-06
2011-12-31,2002180,1.6693111478156693e-05
2012-03-31,2002180,7.124218994029955e-06
2012-06-30,2002180,3.618957242652095e-06
2012-09-30,2002180,8.151167775157716e-06
2012-12-31,2002180,7.644351982342591e-06
2013-03-31,2002180,1.4896563576767066e-05
2013-06-30,2002180,1.6207416546001975e-05
2013-09-30,2002180,1.2582794944238065e-05
2013-12-31,2002180,1.44211472229355e-05
2014-03-31,2002180,1.41154269674181e-05
2014-06-30,2002180,1.7496501033893478e-05
2014-09-30,2002180,1.2651691953278318e-05
2014-12-31,2002180,1.2125546578041804e-05
2015-03-31,2002180,1.6234181273459704e-05
2015-06-30,2002180,7.33336765703519e-06
2015-09-30,2002180,1.0935596622612757e-05
2015-12-31,2002180,1.2557587519859713e-05
2016-03-31,2002180,9.585558270644688e-06
2016-06-30,2002180,6.287269606336114e-06
2016-09-30,2002180,6.528540792082109e-06
2016-12-31,2002180,1.1914187444066375e-05
2017-03-31,2002180,8.70196688366242e-06
2017-06-30,2002180,6.3978490799580085e-06
2017-09-30,2002180,9.601692160992023e-06
2017-12-31,2002180,1.3809155231063614e-05
2018-03-31,2002180,1.0805867051581546e-05
2018-06-30,2002180,8.309884781339999e-06
2018-09-30,2002180,9.911672005624223e-06
2018-12-31,2002180,0.00011351772763938006
2019-03-31,2002180,4.752583457348696e-06
2019-06-30,2002180,8.010372149340378e-06
2019-09-30,2002180,4.416592264779454e-06
2019-12-31,2002180,8.833064247213262e-06
2020-03-31,2002180,2.169946007989779e-05
2020-06-30,2002180,4.2190965044430965e-06
2010-06-30,2002195,1.855261584408503e-06
2010-09-30,2002195,7.777658664192417e-08
2010-12-31,2002195,1.4750429721789482e-07
2011-03-31,2002195,1.883249811682397e-07
2011-06-30,2002195,1.0058354111770678e-07
2011-09-30,2002195,1.925492392122129e-07
2011-12-31,2002195,1.6278178622558965e-07
2012-03-31,2002195,1.5312319310972901e-07
2012-06-30,2002195,2.2769817402494488e-07
2012-09-30,2002195,1.5399885656926176e-07
2012-12-31,2002195,2.103812005899762e-07
2013-03-31,2002195,1.5497447500254835e-07
2013-06-30,2002195,1.710480852712181e-07
2013-09-30,2002195,1.1386978271509232e-07
2013-12-31,2002195,1.2513645241872998e-07
2014-03-31,2002195,1.3290577070701573e-07
2014-06-30,2002195,1.3066990683889738e-07
2014-09-30,2002195,8.617857131592897e-08
2014-12-31,2002195,9.901178590931663e-08
2015-03-31,2002195,1.0258928964683344e-07
2015-06-30,2002195,1.0537555903512592e-07
2015-09-30,2002195,1.0066167694732174e-07
2015-12-31,2002195,9.55208929344442e-08
2016-03-31,2002195,1.6317813059606312e-07
2016-06-30,2002195,1.0437097749556213e-07
2016-09-30,2002195,6.406730867349978e-08
2016-12-31,2002195,9.736334225711756e-08
2017-03-31,2002195,6.226841703737513e-08
2017-06-30,2002195,6.138274505084068e-08
2017-09-30,2002195,5.5813394207187605e-08
2017-12-31,2002195,6.786485786832126e-08
2018-03-31,2002195,7.902189016753428e-08
2018-06-30,2002195,5.8597741165346575e-08
2018-09-30,2002195,4.9192144221677265e-08
2018-12-31,2002195,7.739141013631803e-08
2019-03-31,2002195,5.095396102272298e-08
2019-06-30,2002195,2.265780341025977e-07
2019-09-30,2002195,5.8798784218913614e-08
2019-12-31,2002195,1.2030375679502807e-07
2020-03-31,2002195,1.361874737604061e-07
2020-06-30,2002195,7.011473466237275e-08
2010-06-30,2002205,0.0001301328648096318
2010-09-30,2002205,2.507990983566491e-06
2010-12-31,2002205,3.2097961157466673e-06
2011-03-31,2002205,2.4759413164180483e-06
2011-06-30,2002205,3.7469319666294905e-06
2011-09-30,2002205,6.242192943670931e-06
2011-12-31,2002205,3.9604005225549084e-06
2012-03-31,2002205,6.486714830283782e-06
2012-06-30,2002205,4.958381458927721e-06
2012-09-30,2002205,2.2245620782126783e-06
2012-12-31,2002205,2.0052523047479338e-06
2013-03-31,2002205,2.6153003475201666e-06
2013-06-30,2002205,4.053797455177674e-06
2013-09-30,2002205,3.392910500923325e-06
2013-12-31,2002205,5.838503111637721e-06
2014-03-31,2002205,1.907956226060907e-05
2014-06-30,2002205,2.359401554565137e-05
2014-09-30,2002205,9.931011038721134e-06
2014-12-31,2002205,8.73979973539635e-06
2015-03-31,2002205,6.784761069348557e-06
2015-06-30,2002205,9.737742570974015e-06
2015-09-30,2002205,1.6210216981225297e-05
2015-12-31,2002205,9.393271114530284e-06
2016-03-31,2002205,5.178608363525756e-06
2016-06-30,2002205,5.4436588178197035e-06
2016-09-30,2002205,1.0684751946216783e-05
2016-12-31,2002205,1.320494774556008e-05
2017-03-31,2002205,2.414472155166267e-06
2017-06-30,2002205,7.73098897044922e-06
2017-09-30,2002205,2.891555222394926e-06
2017-12-31,2002205,1.177898826416015e-05
2018-03-31,2002205,6.793932649948359e-06
2018-06-30,2002205,8.911780487556207e-06
2018-09-30,2002205,1.5095285427387272e-05
2018-12-31,2002205,1.9456253344888726e-05
2019-03-31,2002205,6.411864067732343e-06
2019-06-30,2002205,8.983095120861686e-06
2019-09-30,2002205,1.9519974061582506e-06
2019-12-31,2002205,1.5544897143135285e-06
2020-03-31,2002205,1.1645243580639492e-05
2020-06-30,2002205,1.9817759298411696e-05
2010-06-30,2002222,0.0035226598260347385
2010-09-30,2002222,0.003825261921912144
2010-12-31,2002222,0.00403131790923111
2011-03-31,2002222,0.00385193681837435
2011-06-30,2002222,0.0009985053271496466
2011-09-30,2002222,0.0007522877527912727
2011-12-31,2002222,0.0035158159606096533
2012-03-31,2002222,0.004598827121421594
2012-06-30,2002222,0.007676062929139156
2012-09-30,2002222,0.005286250937693179
2012-12-31,2002222,0.003704647378424389
2013-03-31,2002222,0.0018087953055582653
2013-06-30,2002222,0.0009370889505506508
2013-09-30,2002222,0.0014350021022542664
2013-12-31,2002222,0.0007236052622194916
2014-03-31,2002222,0.0011155559513118982
2014-06-30,2002222,0.0016187328643233973
2014-09-30,2002222,0.0020457092990589414
2014-12-31,2002222,0.0026936468038427537
2015-03-31,2002222,0.00019141327814405957
2015-06-30,2002222,0.00036719716236099914
2015-09-30,2002222,0.00023529023699894242
2015-12-31,2002222,0.00031083263666289675
2016-03-31,2002222,0.00047858513077957316
2016-06-30,2002222,0.0008674311417662943
2016-09-30,2002222,0.0011847973199377788
2016-12-31,2002222,0.00023213096217592394
2017-03-31,2002222,0.0002860968747451592
2017-06-30,2002222,0.0019248338651745094
2017-09-30,2002222,0.00021993646512979522
2017-12-31,2002222,0.00017409118037413885
2018-03-31,2002222,0.00014883151777880904
2018-06-30,2002222,0.0004995266402690731
2018-09-30,2002222,0.00026095019821985435
2018-12-31,2002222,0.00035684367293070684
2019-03-31,2002222,0.00012017983971973
2019-06-30,2002222,0.0003614405156226397
2019-09-30,2002222,0.0005030181097405406
2019-12-31,2002222,0.00021569881390733027
2020-03-31,2002222,0.00038199238409545916
2020-06-30,2002222,0.0007625425878674591
2010-06-30,2002292,0.0002374467990164187
2010-09-30,2002292,0.00017451255171663024
2010-12-31,2002292,0.00014186868699599017
2011-03-31,2002292,0.0002712843693315284
2011-06-30,2002292,0.0003130304434685125
2011-09-30,2002292,0.00032375014640445674
2011-12-31,2002292,0.00024297201764986908
2012-03-31,2002292,0.00016543407240309882
2012-06-30,2002292,0.00047385497300372165
2012-09-30,2002292,0.00023969165805615942
2012-12-31,2002292,0.00011728169902237216
2013-03-31,2002292,0.00016381139383519542
2013-06-30,2002292,0.00020267862382263203
2013-09-30,2002292,0.00013533784779019674
2013-12-31,2002292,0.00022354361732654647
2014-03-31,2002292,9.346436278228898e-05
2014-06-30,2002292,0.00015893477633220428
2014-09-30,2002292,0.00021917073695663876
2014-12-31,2002292,0.00011448187043054428
2015-03-31,2002292,0.0002708060099474616
2015-06-30,2002292,0.00022707649517558434
2015-09-30,2002292,0.00026449663167673265
2015-12-31,2002292,0.00024124559034488578
2016-03-31,2002292,0.0003777850788895255
2016-06-30,2002292,0.0004354546540763216
2016-09-30,2002292,0.00023373867492208682
2016-12-31,2002292,0.00027079944663138103
2017-03-31,2002292,0.0003309123121233627
2017-06-30,2002292,0.00012261136811869374
2017-09-30,2002292,5.1200564283123074e-05
2017-12-31,2002292,0.00019327420938722924
2018-03-31,2002292,6.966954237912299e-05
2018-06-30,2002292,0.00010990022479513994
2018-09-30,2002292,6.119922132094086e-05
2018-12-31,2002292,0.00025955906003292066
2019-03-31,2002292,0.0001334959305417267
2019-06-30,2002292,8.641264467057575e-05
2019-09-30,2002292,0.00031281548734067664
2019-12-31,2002292,0.0002171014205228336
2020-03-31,2002292,0.0002678128422141896
2020-06-30,2002292,0.0002556894351467612
2010-06-30,2002295,7.990593899157334e-06
2010-09-30,2002295,5.0020809832868165e-06
2010-12-31,2002295,7.3947037239854785e-06
2011-03-31,2002295,7.371490258054166e-06
2011-06-30,2002295,2.9918406431650038e-06
2011-09-30,2002295,1.7603357499339416e-06
2011-12-31,2002295,2.7250255593705827e-06
2012-03-31,2002295,2.2742913174884227e-05
2012-06-30,2002295,0.00010789471049425595
2012-09-30,2002295,0.0002238237321736712
2012-12-31,2002295,9.353719718002236e-05
2013-03-31,2002295,0.00010412354816796037
2013-06-30,2002295,0.000154887873587929
2013-09-30,2002295,9.233455478909727e-05
2013-12-31,2002295,0.00010083401700429502
2014-03-31,2002295,0.00010500420689194336
2014-06-30,2002295,0.00012631751732400783
2014-09-30,2002295,0.00010824927481562276
2014-12-31,2002295,0.00035733963160425563
2015-03-31,2002295,0.00019342010272518649
2015-06-30,2002295,0.00017547680197728342
2015-09-30,2002295,0.00027426416566560897
2015-12-31,2002295,0.0005735024279137247
2016-03-31,2002295,0.0005487290584651869
2016-06-30,2002295,0.00017331210313855522
2016-09-30,2002295,0.00014559712008512394
